N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
9;19;0.03;0.2;0.2;0.2;0.2;0.2;0.03;0;0
10;19;0.03;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;20;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;20;0.02;0.2;0.2;0.2;0.2;0.2;0.13;0;0
3;20;0.01;0.2;0.2;0.2;0.2;0.2;0.12;0;0
1;21;-0.0;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;21;0.01;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;21;0.0;0.2;0.2;0.2;0.2;0.2;0.06;0;0
4;21;0.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;21;0.01;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;22;0.0;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;22;-0.0;0.2;0.2;0.2;0.2;0.2;0.22;0;0
3;22;0.0;0.2;0.2;0.2;0.2;0.2;0.11;0;0
1;23;0.04;0.2;0.2;0.2;0.2;0.2;1;1;0
1;24;0.04;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;24;0.05;0.2;0.2;0.2;0.2;0.2;0.12;0;0
3;24;0.04;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;24;0.02;0.2;0.2;0.2;0.2;0.2;1;1;0
1;25;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;25;0.01;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;25;0.01;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;25;-0.0;0.2;0.2;0.2;0.2;0.2;0.04;0;0
5;25;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;26;0.04;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;26;0.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;26;0.03;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;26;0.02;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;27;0.01;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;27;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;28;0.02;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;28;0.01;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;29;0.01;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;29;0.01;0.2;0.2;0.2;0.2;0.2;0.14;0;0
3;29;0.01;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;29;0.03;0.2;0.2;0.2;0.2;0.2;1;1;0
1;30;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;31;-0.0;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;31;0.01;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;31;0.01;0.2;0.2;0.2;0.2;0.2;0.12;0;0
4;31;0.01;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;32;0.04;0.2;0.2;0.2;0.2;0.2;1;1;0
1;33;0.02;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;33;-0.0;0.2;0.2;0.2;0.2;0.2;0.22;0;0
3;33;0.01;0.2;0.2;0.2;0.2;0.2;0.1;0;0
4;33;0.0;0.2;0.2;0.2;0.2;0.2;0.05;0;0
5;33;0.0;0.2;0.2;0.2;0.2;0.2;0.06;0;0
1;34;0.01;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;34;0.0;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;35;0.02;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;35;0.02;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;35;0.04;0.2;0.2;0.2;0.2;0.2;0.07;0;0
4;35;0.02;0.2;0.2;0.2;0.2;0.2;0.09;0;0
5;35;0.02;0.2;0.2;0.2;0.2;0.2;0.19;0;0
6;35;0.02;0.2;0.2;0.2;0.2;0.2;0.06;0;0
7;35;0.02;0.2;0.2;0.2;0.2;0.2;0.03;0;0
8;35;0.03;0.2;0.2;0.2;0.2;0.2;0.07;0;0
9;35;0.02;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;36;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;36;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;37;0.04;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;37;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
