N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;5000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
4;29;0.1;0.2;0.2;0.2;0.2;0.2;0.07;0;0
5;29;0.08;0.2;0.2;0.2;0.2;0.2;1;1;0
1;30;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;30;0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;30;0.1;0.2;0.2;0.2;0.2;0.2;0.05;0;0
4;30;0.09;0.2;0.2;0.2;0.2;0.2;0.14;0;0
5;30;0.1;0.2;0.2;0.2;0.2;0.2;0.07;0;0
6;30;0.1;0.2;0.2;0.2;0.2;0.2;0.13;0;0
7;30;0.1;0.2;0.2;0.2;0.2;0.2;0.08;0;0
8;30;0.1;0.2;0.2;0.2;0.2;0.2;0.1;0;0
9;30;0.1;0.2;0.2;0.2;0.2;0.2;0.01;0;0
10;30;0.1;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;31;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;31;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;31;0.09;0.2;0.2;0.2;0.2;0.2;0.09;0;0
4;31;0.09;0.2;0.2;0.2;0.2;0.2;0.06;0;0
5;31;0.1;0.2;0.2;0.2;0.2;0.2;0.08;0;0
1;32;0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;32;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;32;0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
4;32;0.09;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;32;0.09;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;33;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;33;0.1;0.2;0.2;0.2;0.2;0.2;0.15;0;0
3;33;0.1;0.2;0.2;0.2;0.2;0.2;0.06;0;0
4;33;0.1;0.2;0.2;0.2;0.2;0.2;0.12;0;0
1;34;0.1;0.2;0.2;0.2;0.2;0.2;0.09;0;0
2;34;0.1;0.2;0.2;0.2;0.2;0.2;0.13;0;0
3;34;0.1;0.2;0.2;0.2;0.2;0.2;0.14;0;0
4;34;0.1;0.2;0.2;0.2;0.2;0.2;0.04;0;0
5;34;0.09;0.2;0.2;0.2;0.2;0.2;0.08;0;0
6;34;0.09;0.2;0.2;0.2;0.2;0.2;0.13;0;0
1;35;0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;35;0.09;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;35;0.09;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;35;0.09;0.2;0.2;0.2;0.2;0.2;0.05;0;0
5;35;0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
6;35;0.1;0.2;0.2;0.2;0.2;0.2;0.15;0;0
7;35;0.09;0.2;0.2;0.2;0.2;0.2;0.17;0;0
8;35;0.11;0.2;0.2;0.2;0.2;0.2;0.05;0;0
1;36;0.09;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;36;0.09;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;36;0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
