N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;20000;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;6;-0.14;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;6;-0.14;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;6;-0.14;0.2;0.2;0.2;0.2;0.2;0.03;0;0
5;6;-0.13;0.2;0.2;0.2;0.2;0.2;0.06;0;0
6;6;-0.13;0.2;0.2;0.2;0.2;0.2;0.1;0;0
7;6;-0.13;0.2;0.2;0.2;0.2;0.2;1;1;0
1;7;-0.12;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;7;-0.11;0.2;0.2;0.2;0.2;0.2;0.07;0;0
3;7;-0.13;0.2;0.2;0.2;0.2;0.2;0.07;0;0
4;7;-0.13;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;8;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;8;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;9;-0.09;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;9;-0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
3;9;-0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;9;-0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;9;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
6;9;-0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
7;9;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
8;9;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
9;9;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
10;9;-0.1;0.2;0.2;0.2;0.2;0.2;0.01;0;0
11;9;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
12;9;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;10;-0.1;0.2;0.2;0.2;0.2;0.2;1;1;0
1;11;-0.14;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;11;-0.14;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;11;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;12;-0.13;0.2;0.2;0.2;0.2;0.2;1;1;0
1;13;-0.14;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;13;-0.13;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;13;-0.15;0.2;0.2;0.2;0.2;0.2;0.05;0;0
4;13;-0.13;0.2;0.2;0.2;0.2;0.2;1;1;0
1;14;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;15;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;16;-0.15;0.2;0.2;0.2;0.2;0.2;0.5;0;0
2;16;-0.15;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;16;-0.13;0.2;0.2;0.2;0.2;0.2;0.06;0;0
4;16;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;17;-0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;17;-0.12;0.2;0.2;0.2;0.2;0.2;0.06;0;0
3;17;-0.13;0.2;0.2;0.2;0.2;0.2;0.06;0;0
4;17;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;17;-0.15;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;17;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
7;17;-0.15;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;18;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;18;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;18;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;18;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;18;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;18;-0.14;0.2;0.2;0.2;0.2;0.2;0.01;0;0
7;18;-0.15;0.2;0.2;0.2;0.2;0.2;0.01;0;0
8;18;-0.14;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;19;-0.13;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;19;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;19;-0.13;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;20;-0.14;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;20;-0.11;0.2;0.2;0.2;0.2;0.2;0.08;0;0
1;21;-0.1;0.2;0.2;0.2;0.2;0.2;0.03;0;0
2;21;-0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;21;-0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;21;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;21;-0.13;0.2;0.2;0.2;0.2;0.2;0.03;0;0
6;21;-0.13;0.2;0.2;0.2;0.2;0.2;0.03;0;0
7;21;-0.12;0.2;0.2;0.2;0.2;0.2;1;1;0
1;22;-0.14;0.2;0.2;0.2;0.2;0.2;0.05;0;0
2;22;-0.13;0.2;0.2;0.2;0.2;0.2;1;1;0
1;23;-0.13;0.2;0.2;0.2;0.2;0.2;0.06;0;0
2;23;-0.12;0.2;0.2;0.2;0.2;0.2;1;1;0
1;24;-0.11;0.2;0.2;0.2;0.2;0.2;1;1;0
1;25;-0.13;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;25;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
1;26;-0.11;0.2;0.2;0.2;0.2;0.2;0.04;0;0
2;26;-0.12;0.2;0.2;0.2;0.2;0.2;0.05;0;0
3;26;-0.12;0.2;0.2;0.2;0.2;0.2;0.03;0;0
4;26;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;26;-0.14;0.2;0.2;0.2;0.2;0.2;0.03;0;0
6;26;-0.13;0.2;0.2;0.2;0.2;0.2;0.03;0;0
7;26;-0.14;0.2;0.2;0.2;0.2;0.2;0.04;0;0
8;26;-0.13;0.2;0.2;0.2;0.2;0.2;0.04;0;0
1;27;-0.12;0.2;0.2;0.2;0.2;0.2;0.08;0;0
2;27;-0.13;0.2;0.2;0.2;0.2;0.2;0.08;0;0
3;27;-0.13;0.2;0.2;0.2;0.2;0.2;0.04;0;0
4;27;-0.14;0.2;0.2;0.2;0.2;0.2;1;1;0
1;28;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;28;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;28;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;28;-0.11;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;28;-0.14;0.2;0.2;0.2;0.2;0.2;0.03;0;0
6;28;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
7;28;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
8;28;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
9;28;-0.13;0.2;0.2;0.2;0.2;0.2;0.07;0;0
1;29;-0.09;0.2;0.2;0.2;0.2;0.2;0.02;0;0
2;29;-0.09;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;29;-0.1;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;29;-0.08;0.2;0.2;0.2;0.2;0.2;0.01;0;0
5;29;-0.1;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;29;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
7;29;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
8;29;-0.12;0.2;0.2;0.2;0.2;0.2;0.01;0;0
1;30;-0.12;0.2;0.2;0.2;0.2;0.2;0.5;0;0
2;30;-0.12;0.2;0.2;0.2;0.2;0.2;0.04;0;0
3;30;-0.12;0.2;0.2;0.2;0.2;0.2;0.03;0;0
1;31;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
2;31;-0.11;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;31;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
4;31;-0.13;0.2;0.2;0.2;0.2;0.2;0.02;0;0
5;31;-0.12;0.2;0.2;0.2;0.2;0.2;0.02;0;0
6;31;-0.13;0.2;0.2;0.2;0.2;0.2;0.03;0;0
7;31;-0.11;0.2;0.2;0.2;0.2;0.2;0.06;0;0
